epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92127,2.84013,6.53802,4.67252,2.73829,0.00468,0.37222,0.01234,0.00372,0.00161,0.15741,0.0019,0.00023,3.04526,7.78384,4.59269,3.38778,1e-05,1e-05,1e-05
2,2.97122,2.3295,7.32851,4.04517,2.28357,0.00478,0.40926,0.02241,0.00605,0.00036,0.03704,0.00021,2e-05,3.06629,7.8501,4.54277,3.40157,2.901e-05,2.901e-05,2.901e-05
3,3.73281,2.28316,7.39901,4.24725,2.30257,0.00463,0.40926,0.01683,0.00485,0.0007,0.07407,0.00044,7e-05,3.203,7.80274,4.4459,3.46543,4.67e-05,4.67e-05,4.67e-05
4,4.46825,2.19986,7.73947,4.29765,2.30804,0.00413,0.37222,0.02038,0.00564,0.00064,0.07407,0.00046,0.00011,3.17789,7.86666,4.57141,3.44827,6.307e-05,6.307e-05,6.307e-05
5,5.38342,2.38108,6.42696,4.22912,2.32766,0.00434,0.40926,0.06251,0.01326,0.00161,0.18519,0.00364,0.00069,3.05417,7.59383,4.49902,3.2783,7.812e-05,7.812e-05,7.812e-05
6,6.25422,2.23795,6.01037,3.98104,2.17119,0.00296,0.34259,0.0806,0.02229,0.00197,0.23148,0.0202,0.00417,2.92172,7.02056,4.53547,3.17949,9.185e-05,9.185e-05,9.185e-05
7,7.16974,2.25911,5.94043,4.24696,2.26918,0.00351,0.37963,0.1225,0.03243,0.00178,0.18519,0.02038,0.00569,2.68456,6.90104,4.41147,3.03165,0.00010426,0.00010426,0.00010426
8,8.12125,1.90305,4.50086,4.06366,2.22172,0.00372,0.37963,0.09632,0.03145,0.00233,0.22222,0.02935,0.00842,2.76702,6.99536,4.34207,3.05826,0.00011535,0.00011535,0.00011535
9,8.98579,2.16997,4.58218,4.01441,2.26151,0.00398,0.37963,0.0718,0.02299,0.00253,0.22222,0.03386,0.01102,2.79275,6.97594,4.30613,3.07567,0.00012512,0.00012512,0.00012512
10,9.86973,1.80666,4.25405,3.73741,2.02046,0.00428,0.37963,0.09796,0.03058,0.0023,0.18519,0.05244,0.01926,2.77083,6.94659,4.27904,3.04816,0.00013357,0.00013357,0.00013357
11,10.7425,1.92308,4.13659,3.67731,2.10537,0.00548,0.4463,0.08203,0.03786,0.00385,0.28889,0.0622,0.02264,2.67177,6.79559,4.31378,2.97141,0.0001407,0.0001407,0.0001407
12,11.6432,2.32483,3.80368,3.89465,2.2396,0.00543,0.40926,0.07553,0.02992,0.00426,0.28889,0.05896,0.01699,2.70173,6.54619,4.29093,2.97232,0.00014651,0.00014651,0.00014651
13,12.5296,2.35445,3.70911,3.76808,2.28297,0.0062,0.40926,0.059,0.02333,0.00428,0.22222,0.04625,0.0122,2.78854,6.74945,4.23375,2.94934,0.000151,0.000151,0.000151
14,13.4101,2.10229,3.88197,3.6506,2.14139,0.00693,0.40926,0.04776,0.02016,0.00494,0.22222,0.04055,0.01029,2.79994,6.83648,4.20049,2.95343,0.00015417,0.00015417,0.00015417
15,14.2295,1.66746,3.40419,3.47929,1.90768,0.00694,0.32593,0.05552,0.02135,0.00549,0.22222,0.0353,0.0088,2.70555,7.33971,4.03863,2.93506,0.00015602,0.00015602,0.00015602
16,15.0403,1.91778,3.42289,3.76555,2.10679,0.00661,0.28889,0.08522,0.02422,0.00508,0.18519,0.02857,0.00731,2.67475,7.55292,3.91094,2.94721,0.00015655,0.00015655,0.00015655
17,15.8551,1.81321,3.09435,3.46034,2.10558,0.00671,0.22222,0.05643,0.02561,0.00447,0.14815,0.02948,0.00762,2.64087,7.47479,3.90918,2.8846,0.00015576,0.00015576,0.00015576
18,16.7076,1.8036,2.99114,3.17313,1.8544,0.0083,0.25926,0.08438,0.0311,0.00712,0.22222,0.05029,0.00895,2.63639,7.52132,3.82384,2.86572,0.00015365,0.00015365,0.00015365
19,17.5577,2.18833,3.51362,3.78209,2.10436,0.00794,0.22222,0.06285,0.02951,0.00661,0.18519,0.04383,0.01034,2.64866,7.53351,3.71715,2.84196,0.00015022,0.00015022,0.00015022
20,18.4987,1.63098,3.3768,3.3632,1.87954,0.00956,0.25926,0.05058,0.02909,0.00683,0.18519,0.03838,0.01033,2.62782,7.79411,3.70811,2.82346,0.00014547,0.00014547,0.00014547
21,24.7807,2.03473,3.60397,3.837,2.16893,0.0087,0.22222,0.05535,0.03239,0.00725,0.18519,0.0388,0.01825,2.702,7.63982,3.69609,2.86947,0.0001394,0.0001394,0.0001394
22,25.9429,2.19425,3.6294,4.531,2.18597,0.01121,0.34259,0.05423,0.03058,0.00606,0.14815,0.03529,0.01127,2.70814,7.65766,3.69402,2.84722,0.00013201,0.00013201,0.00013201
23,26.959,1.82644,3.51501,4.03412,2.09396,0.0101,0.30556,0.0502,0.02996,0.00635,0.14815,0.03531,0.0109,2.73843,7.27641,3.71279,2.88461,0.0001233,0.0001233,0.0001233
24,27.9579,2.07429,3.48143,4.04448,2.06564,0.01082,0.37222,0.04804,0.02974,0.00708,0.21481,0.03709,0.01113,2.67203,7.12141,3.74983,2.85611,0.00011327,0.00011327,0.00011327
25,28.8539,1.75741,3.05227,3.79493,2.09966,0.01137,0.34259,0.04432,0.0278,0.00617,0.14815,0.01915,0.00752,2.66878,7.07736,3.73051,2.85396,0.00010192,0.00010192,0.00010192
26,29.8288,1.82621,3.43668,3.72301,2.06752,0.012,0.34259,0.03539,0.02116,0.00654,0.14815,0.01873,0.00621,2.69223,7.0511,3.71332,2.85036,8.925e-05,8.925e-05,8.925e-05
27,30.7038,1.74327,3.53153,3.96975,2.22098,0.01053,0.30556,0.03318,0.02004,0.00498,0.11111,0.00994,0.00518,2.71107,6.82451,3.67267,2.82044,7.526e-05,7.526e-05,7.526e-05
28,31.5883,1.67463,3.11261,3.56675,1.96194,0.01053,0.30556,0.03318,0.02004,0.00498,0.11111,0.00994,0.00518,2.71107,6.82451,3.67267,2.82044,5.995e-05,5.995e-05,5.995e-05
29,32.575,1.82755,3.38235,3.8088,2.14732,0.01186,0.34259,0.03649,0.02188,0.00614,0.26111,0.01133,0.00584,2.68571,6.56882,3.67017,2.80215,4.332e-05,4.332e-05,4.332e-05
30,33.5195,1.82295,3.23105,3.5617,2.11234,0.01025,0.30556,0.0349,0.02156,0.00703,0.23148,0.01131,0.00587,2.70803,6.49934,3.66016,2.79251,2.537e-05,2.537e-05,2.537e-05
