epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.87852,2.84013,6.53802,4.67252,2.73829,0.00468,0.37222,0.01234,0.00372,0.00161,0.15741,0.0019,0.00023,3.04526,7.78384,4.59269,3.38778,1e-05,1e-05,1e-05
2,3.33119,2.3295,7.32851,4.04517,2.28357,0.00478,0.40926,0.02241,0.00605,0.00036,0.03704,0.00021,2e-05,3.06629,7.8501,4.54277,3.40157,2.9802e-05,2.9802e-05,2.9802e-05
3,4.90763,2.28316,7.39901,4.24725,2.30257,0.00463,0.40926,0.01683,0.00485,0.0007,0.07407,0.00044,7e-05,3.203,7.80274,4.4459,3.46543,4.934e-05,4.934e-05,4.934e-05
4,5.64199,2.19986,7.73947,4.29765,2.30804,0.00414,0.37222,0.02044,0.006,0.00065,0.07407,0.00048,0.00011,3.17733,7.93931,4.5612,3.44523,6.8614e-05,6.8614e-05,6.8614e-05
5,6.52889,2.37807,6.38226,4.23875,2.3324,0.00258,0.30556,0.05283,0.01196,0.00159,0.18519,0.00569,0.0007,3.0272,7.57037,4.53493,3.2787,8.7624e-05,8.7624e-05,8.7624e-05
6,7.36127,2.18061,5.95195,3.97394,2.1428,0.00331,0.37963,0.07586,0.01981,0.00169,0.18519,0.01608,0.00559,2.94846,7.12176,4.44067,3.21276,0.00010637,0.00010637,0.00010637
7,8.22616,2.27378,5.69035,4.12782,2.22055,0.00317,0.34259,0.09764,0.0202,0.00184,0.18519,0.02111,0.00677,2.86966,6.9995,4.39923,3.10477,0.000124852,0.000124852,0.000124852
8,9.10589,1.96188,4.39072,3.97957,2.17989,0.00393,0.37963,0.08764,0.02489,0.00254,0.22222,0.04564,0.0179,2.79623,7.06427,4.34832,2.95394,0.00014307,0.00014307,0.00014307
9,9.9605,2.11349,4.15454,3.81833,2.22055,0.00426,0.37963,0.06152,0.02135,0.00279,0.22222,0.04987,0.01779,2.7405,6.95135,4.29756,2.86899,0.000161024,0.000161024,0.000161024
10,10.8,1.84621,4.2002,3.64837,2.00663,0.00425,0.2963,0.07373,0.01878,0.00318,0.22222,0.06207,0.01251,2.7177,6.90452,4.31035,2.90387,0.000178714,0.000178714,0.000178714
11,11.6692,1.95296,3.91775,3.53748,2.10618,0.00493,0.2963,0.08278,0.01765,0.0037,0.22222,0.0623,0.009,2.73902,6.65874,4.27717,2.96821,0.00019614,0.00019614,0.00019614
12,12.4853,2.24853,3.53473,3.70003,2.15072,0.00532,0.2963,0.09476,0.02399,0.00333,0.18519,0.01898,0.00456,2.71516,7.12218,4.08304,3.00636,0.000213302,0.000213302,0.000213302
13,13.3292,2.28278,3.63283,3.68033,2.20682,0.00582,0.2963,0.08127,0.02552,0.00364,0.18519,0.0326,0.00603,2.67505,7.57087,4.01014,3.06472,0.0002302,0.0002302,0.0002302
14,14.1569,1.94783,3.82365,3.50392,2.00197,0.00603,0.2963,0.06348,0.02102,0.00452,0.22222,0.02169,0.00378,2.78542,7.73091,3.87813,2.96641,0.000246834,0.000246834,0.000246834
15,14.958,1.60742,3.08917,3.38709,1.83482,0.00614,0.2963,0.05706,0.01947,0.00461,0.22222,0.02253,0.0046,2.79177,7.8635,3.83844,2.95118,0.000263204,0.000263204,0.000263204
16,15.9689,1.96099,3.39574,3.72415,2.16167,0.00694,0.37963,0.0715,0.02283,0.00483,0.22222,0.02058,0.00613,2.78637,7.9965,3.69157,2.98241,0.00027931,0.00027931,0.00027931
17,16.8503,1.70619,3.01209,3.19656,1.95886,0.00772,0.37963,0.10799,0.02376,0.00543,0.22222,0.05654,0.00999,2.67894,8.09193,3.6286,2.95342,0.000295152,0.000295152,0.000295152
18,17.718,1.8121,2.98459,3.18767,1.87439,0.00855,0.2963,0.10262,0.0248,0.00641,0.22222,0.05286,0.00848,2.55024,7.78593,3.6674,2.90572,0.00031073,0.00031073,0.00031073
19,18.6014,2.10154,3.54131,3.46362,2.03569,0.00946,0.2963,0.04382,0.01781,0.00709,0.22222,0.02701,0.00597,2.63631,7.80323,3.6733,2.92969,0.000326044,0.000326044,0.000326044
20,19.5496,1.54667,3.20417,3.38781,1.86455,0.0113,0.2963,0.02735,0.01168,0.00847,0.22222,0.01693,0.00341,2.72537,8.10622,3.67209,3.06083,0.000341094,0.000341094,0.000341094
21,20.4018,1.77588,3.02248,3.43006,1.91292,0.01175,0.2963,0.03739,0.01287,0.00881,0.22222,0.01522,0.00386,2.81779,8.45684,3.66273,3.24776,0.00035588,0.00035588,0.00035588
22,21.3081,1.49508,3.15034,3.07397,1.73938,0.01301,0.2963,0.03817,0.01519,0.00813,0.18519,0.01962,0.00413,2.83538,8.79139,3.62419,3.39883,0.000370402,0.000370402,0.000370402
23,22.1471,1.84286,3.33311,3.36887,1.95931,0.01344,0.37963,0.05936,0.01886,0.00644,0.14815,0.00781,0.00193,2.8689,9.00123,3.53614,3.38395,0.00038466,0.00038466,0.00038466
24,22.9972,1.62385,2.85845,2.92177,1.78802,0.01224,0.34259,0.06316,0.01763,0.00667,0.14815,0.01642,0.00268,2.89144,9.21551,3.49245,3.35231,0.000398654,0.000398654,0.000398654
25,23.8223,2.01602,3.38221,3.27694,2.05235,0.0121,0.34259,0.0745,0.01879,0.0066,0.14815,0.012,0.00279,2.72792,9.01196,3.44169,3.20661,0.000412384,0.000412384,0.000412384
26,24.6524,1.7782,3.29241,3.03867,1.86337,0.01253,0.34259,0.05565,0.01576,0.00855,0.18519,0.02041,0.00372,2.72307,8.12085,3.52383,3.01218,0.00042585,0.00042585,0.00042585
27,25.5727,1.72393,2.74112,3.08972,1.92217,0.01191,0.30556,0.02628,0.0119,0.00758,0.14815,0.01918,0.00428,2.70989,7.02975,3.60497,2.95986,0.000439052,0.000439052,0.000439052
